player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
AJ Brown,PHI,Receptions,6.0,140.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,0.7199999999999998,0.7043790335916341,,,0.7199999999999998
Jalen Hurts,PHI,Passing TDs,2.0,140.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,2.65,0.6499999999999999,0.18571760113039648,,,0.6499999999999999
Jaxson Dart,NYG,Passing TDs,2.0,275.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,1.39,-0.6100000000000001,-0.3846594104091624,,,0.6100000000000001
Jaxson Dart,NYG,Passing TDs,1.0,-205.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,1.39,0.3899999999999999,-0.3978704551768514,,,0.3899999999999999
Jalen Hurts,PHI,Passing TDs,3.0,550.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,2.65,-0.3500000000000001,0.7869598738076522,,,0.3500000000000001
AJ Brown,PHI,Receptions,7.0,275.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,-0.28000000000000025,0.5552514944068554,,,0.28000000000000025
Dallas Goedert,PHI,Receptions,6.0,210.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,0.2599999999999998,0.7957050992612194,,,0.2599999999999998
Wan'dale Robinson,NYG,Receptions,7.0,225.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,0.2400000000000002,0.863012582937841,,,0.2400000000000002
Saquon Barkley,PHI,Receptions,4.0,225.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,receptions,3.83,-0.16999999999999993,0.4559315293646351,,,0.16999999999999993
Theo Johnson,NYG,Receptions,5.0,120.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,0.16999999999999993,0.2144463493531702,,,0.16999999999999993
